Symbol,TradeDate,Datetime,Open,High,Low,Close,Volume,MinuteChangePct,IsDrasticMoment
ADANIENT,2024-01-03,2024-01-03T10:02:00+05:30,3166.800000,3174.900000,3146.450000,3149.450000,124953,-0.547872,false
ADANIENT,2024-01-03,2024-01-03T10:03:00+05:30,3150.000000,3156.500000,3134.150000,3156.500000,142849,0.223849,false
ADANIENT,2024-01-03,2024-01-03T10:04:00+05:30,3155.350000,3160.000000,3151.050000,3159.000000,61735,0.079202,false
ADANIENT,2024-01-03,2024-01-03T10:05:00+05:30,3158.250000,3165.250000,3156.000000,3158.450000,70124,-0.017411,false
ADANIENT,2024-01-03,2024-01-03T10:06:00+05:30,3157.650000,3158.000000,3143.000000,3145.000000,70684,-0.425842,false
ADANIENT,2024-01-03,2024-01-03T10:07:00+05:30,3145.000000,3148.800000,3139.200000,3146.950000,51347,0.062003,false
ADANIENT,2024-01-03,2024-01-03T10:08:00+05:30,3147.800000,3158.000000,3146.950000,3158.000000,41320,0.351134,false
ADANIENT,2024-01-03,2024-01-03T10:09:00+05:30,3156.500000,3162.000000,3151.500000,3151.500000,49646,-0.205826,false
ADANIENT,2024-01-03,2024-01-03T10:10:00+05:30,3151.000000,3153.000000,3145.000000,3151.700000,34851,0.006346,false
ADANIENT,2024-01-03,2024-01-03T10:11:00+05:30,3151.500000,3154.000000,3143.100000,3143.100000,31565,-0.272869,false
ADANIENT,2024-01-03,2024-01-03T10:12:00+05:30,3143.000000,3151.100000,3140.050000,3141.350000,47190,-0.055678,false
ADANIENT,2024-01-03,2024-01-03T10:13:00+05:30,3139.550000,3147.000000,3137.900000,3142.550000,56810,0.038200,false
ADANIENT,2024-01-03,2024-01-03T10:14:00+05:30,3143.800000,3154.900000,3143.800000,3148.950000,56704,0.203656,false
ADANIENT,2024-01-03,2024-01-03T10:15:00+05:30,3150.000000,3154.500000,3148.600000,3153.000000,27864,0.128614,false
ADANIENT,2024-01-03,2024-01-03T10:16:00+05:30,3153.200000,3153.250000,3147.800000,3152.000000,24642,-0.031716,false
ADANIENT,2024-01-03,2024-01-03T10:17:00+05:30,3151.000000,3155.000000,3148.350000,3149.800000,29723,-0.069797,false
ADANIENT,2024-01-03,2024-01-03T10:18:00+05:30,3146.050000,3146.600000,3130.200000,3133.550000,92528,-0.515906,false
ADANIENT,2024-01-03,2024-01-03T10:19:00+05:30,3132.450000,3137.000000,3119.700000,3126.650000,122595,-0.220198,false
ADANIENT,2024-01-03,2024-01-03T10:20:00+05:30,3123.600000,3131.800000,3116.550000,3116.550000,73395,-0.323029,false
ADANIENT,2024-01-03,2024-01-03T10:21:00+05:30,3117.500000,3130.000000,3116.000000,3123.300000,55432,0.216586,false
ADANIENT,2024-01-03,2024-01-03T10:22:00+05:30,3124.400000,3124.700000,3094.650000,3109.350000,143872,-0.446643,false
ADANIENT,2024-01-03,2024-01-03T10:23:00+05:30,3109.350000,3122.750000,3105.200000,3120.650000,87268,0.363420,false
ADANIENT,2024-01-03,2024-01-03T10:24:00+05:30,3121.150000,3124.000000,3115.100000,3121.250000,58869,0.019227,false
ADANIENT,2024-01-03,2024-01-03T10:25:00+05:30,3122.350000,3127.600000,3121.300000,3127.000000,46655,0.184221,false
ADANIENT,2024-01-03,2024-01-03T10:26:00+05:30,3127.000000,3134.800000,3123.300000,3133.700000,51809,0.214263,false
ADANIENT,2024-01-03,2024-01-03T10:27:00+05:30,3134.750000,3146.950000,3133.000000,3142.500000,76495,0.280818,false
ADANIENT,2024-01-03,2024-01-03T10:28:00+05:30,3142.500000,3144.000000,3133.800000,3140.950000,46282,-0.049324,false
